PO_Key,Package_Original,Subpackage_Original,Reassigned_Package,Reassigned_SubPackage,purchase_order_description,po_total_amount_ordered_in_usd_currency,material_group_description,Vendor Name,VBS Category1,VBS Category 2,,
450458117910,People,Intercompany Service People,Fees,Consulting (project-based),Accenture Payments,388600.0295,CONSULTANCY,Accenture Solutions Pvt. Ltd.,Application Support,TECHNOLOGY,,
450458118110,People,Intercompany Service People,Fees,Consulting (project-based),Accenture Charges,388600.0295,CONSULTANCY,Accenture Solutions Pvt. Ltd.,Application Support,TECHNOLOGY,,
450458118410,People,Intercompany Service People,Fees,Consulting (project-based),Accenture Payments,388600.0295,CONSULTANCY,Accenture Solutions Pvt. Ltd.,Application Support,TECHNOLOGY,,
450458118510,People,Intercompany Service People,Fees,Consulting (project-based),Accenture Payments,68466.53765,CONSULTANCY,Accenture Solutions Pvt. Ltd.,Application Support,TECHNOLOGY,,
450458118710,People,Intercompany Service People,Fees,Consulting (project-based),Accenture Payments,388600.0295,CONSULTANCY,Accenture Solutions Pvt. Ltd.,Application Support,TECHNOLOGY,,
450458119210,People,Intercompany Service People,Fees,Consulting (project-based),Accenture Payments,388600.0295,CONSULTANCY,Accenture Solutions Pvt. Ltd.,Application Support,TECHNOLOGY,,
450458119610,People,Intercompany Service People,Fees,Consulting (project-based),Accenture Payments,310880.0236,CONSULTANCY,Accenture Solutions Pvt. Ltd.,Application Support,TECHNOLOGY,,
450458121310,Non ZBB,Non ZBB Accounts,Technology,Application Licenses,Paragon Enterprises,10966.68143,CONSULTANCY,Kronos systems India Private Limite,Application Licenses Maintenance,TECHNOLOGY,,
450458123710,Institutional,Internal Events,Institutional,Internal Events,Sports Day,1134.712086,CONSULTANCY,TIMESOL FACILITY MANAGEMENT PVT LTD,Office Supplies,OFFICE UTILITIES,,
450458344510,Institutional,Internal Events,Institutional,Non-Charitable Donations,Trophies for inter departmental competit,95.836539,CONSULTANCY,TIMESOL FACILITY MANAGEMENT PVT LTD,Office Supplies,OFFICE UTILITIES,,
450458410410,People,Facility benefits,Institutional,Non-Charitable Donations,cotton Collar T shirt + Caps,2060.357357,CONSULTANCY,TIMESOL FACILITY MANAGEMENT PVT LTD,Office Supplies,OFFICE UTILITIES,,
450458774910,Legal,Legal Fees,People,Pension & Savings Benefit,DSCI - Membership Fee,1554.400118,CONSULTANCY,Data Security Council of India,Health Benefits & Life Insurance,PEOPLE,Legal,Legal Fees
450459608210,Legal,Legal Fees,Fees,Consulting (project-based),Jayanth Salary,512.952039,CONSULTANCY,CareerNet Technologies Pvt. Ltd.,Consultant,FEES,Legal,Legal Fees
450459613510,People,International Mobility,Institutional,Corporate Sponsorship,Inventure Academy,6999.463732,CONSULTANCY,India learning foundation,Corporate Sponsorship,INSTITUTIONAL,,
450460140310,Fees,Consulting (recurring),Fees,Consulting (project-based),KPMG transport,30310.8023,CONSULTANCY,KPMG Advisory Services Private Limi,Expert Fees,LEGAL,,
450462878810,Services,Administrative Support,Fees,Audit Financial,Ernst & Young LLPShort closing the PO,28824.92014,CONSULTANCY,Ernst & Young LLP,Consultant,FEES,,
450463688310,Technology,Workplace,Maintenance,Building & Facilities Maint. Materials,GAC Cabling,550.257642,CONSULTANCY,DNV Security Solutions Pvt Ltd,Buildings & Facilities Maint Mat,MAINTENANCE,,
450464349610,Fees,Consulting (recurring),Fees,Consulting (project-based),APR & other IDT related services,777.200059,CONSULTANCY,Y K Anand & Co,Audit,FEES,,
450464352610,People,Recruiting,Fees,Consulting (project-based),Careernet Interview Services,1119.168085,CONSULTANCY,CareerNet Technologies Pvt. Ltd.,Consultant,FEES,,
450464353210,People,Recruiting,Fees,Consulting (project-based),Rinalytics Retainer fee for Data Enginee,777.200059,CONSULTANCY,RINALYTICS ADVISORS PRIVATE LIMITED,Recruitment,PEOPLE,,
450464353510,People,Recruiting,People,Recruiting,Rinalytics  Placement of Shashi Bhushan,4663.200354,CONSULTANCY,RINALYTICS ADVISORS PRIVATE LIMITED,Recruitment,PEOPLE,,
450464491110,Services,Document & Archiving Services,Fees,Consulting (project-based),Ganeriwala&CO Fee towards certificate,23.316002,CONSULTANCY,Ganeriwala & Co,Consultant,FEES,,
450464674410,Technology,Workplace,Maintenance,Building & Facilities Maint. Materials,GCC – Cabling Kronos,560.361243,CONSULTANCY,DNV Security Solutions Pvt Ltd,Buildings & Facilities Maint Mat,MAINTENANCE,,
450464725610,Services,Administrative Support,Fees,Consulting (project-based),KPMG Invoices,6139.880467,CONSULTANCY,KPMG Advisory Services Private Limi,Expert Fees,LEGAL,,
450464844910,Services,Administrative Support,Fees,Consulting (project-based),TheMath Company Private Limited.,24705.35569,CONSULTANCY,THEMATHCOMPANY PRIVATE LIMITED,Corporate Affairs Fees,INSTITUTIONAL,,
450464903710,Legal,Legal Fees,Legal,Legal Fees,J Sagar Advocate & Soicitors,3988.357543,CONSULTANCY,J. Sagar Associates,Legal,LEGAL,Legal,Legal Fees
450464906410,Legal,Legal Fees,Fees,Audit Financial,RJ Associates Statutory compliance audit,4423.045536,CONSULTANCY,RJ Associates,Expert Fees,LEGAL,Legal,Legal Fees
450464907010,Legal,Legal Fees,Fees,Consulting (project-based),Cyril Amarchand Professional Fee-OSP Wor,5036.256383,CONSULTANCY,CYRIL AMARCHAND MANGALDAS,Consultant,FEES,Legal,Legal Fees
450464907210,Legal,Legal Fees,Fees,Consulting (project-based),Induslaw Professional Fee-Legal Services,5090.660387,CONSULTANCY,Indus Law,Expert Fees,LEGAL,Legal,Legal Fees
450464909610,Legal,Legal Fees,Fees,Consulting (project-based),Mehta-Mehta Professional FeeSecreterial,1554.400118,CONSULTANCY,Mehta & Mehta,Agency Fees & Expenses,MARKETING,Legal,Legal Fees
450467411110,Institutional,Internal Events,Marketing,Agency Fees & Expenses,Motivational speaker cost,464.66998,CONSULTANCY,Mumbai Dabbawala,Customers - Others,CUSTOMERS,,
450467530010,Services,Administrative Support,Fees,Consulting (project-based),Ernst&Young,17349.68507,CONSULTANCY,Ernst & Young LLP,Consultant,FEES,,
450467857310,Technology,Workplace,Technology,Workplace,MentorSystemsComputer Rent Jan17-18,1510.177434,CONSULTANCY,Mentor Systems,Lease/Rentals of Handling and storage equipment,LOGISTICS SUPPORT,,
450467860110,Technology,Workplace,Technology,Workplace,ValuePointSystemsPvtLtd -HPKeyboardMouse,236.98169,CONSULTANCY,Value Point Systems Pvt Ltd,Workplace - Print And Copy Services,TECHNOLOGY,,
450468472410,Services,Administrative Support,Fees,Consulting (project-based),NASSCOM,14795.46389,CONSULTANCY,NATIONAL ASSOCIATION OF SOFTWARE,Consultant,FEES,,
450468709510,#N/A,#N/A,#N/A,#N/A,CC Worldwide Limited Professional Fee-Le,30125.31,CONSULTANCY,CLIFFORD CHANCE LLP,Legal,LEGAL,,
450469004810,Services,Administrative Support,Fees,Consulting (project-based),KPMG Invoices,10571.24204,CONSULTANCY,KPMG Advisory Services Private Limi,Expert Fees,LEGAL,,
450469054410,People,Recruiting,Institutional,Internal Events,Women's Day Celebrations,3627.136417,CONSULTANCY,TFL CONTINUOUS LEARNING PVT LTD,Customers - Others,CUSTOMERS,,
450469127610,Services,Document & Archiving Services,Travel,Business Travel,Sofiiia Romanovska Park Plaza Stay,749.419743,CONSULTANCY,Charishma hotels Pvt Ltd(Park Plaza,Catering / Cafeteria / Vending,PEOPLE,,
450469132110,Institutional,Internal Events,Institutional,Charitable Donations,Aloft Packed Box (NoCC Sessions),406.663677,CONSULTANCY,Aloft Bengaluru Cessna Business Par,Travel - Lodging,TRAVEL,,
450471912810,Fees,Consulting (recurring),Fees,Consulting (project-based),PR  -  Xencia,3199.252811,CONSULTANCY,Xencia Technology Solutions Pvt. Lt,Agency Fees & Expenses,MARKETING,,
450472494310,#N/A,#N/A,#N/A,#N/A,Print new Danglers,149.933513,CONSULTANCY,TIMESOL FACILITY MANAGEMENT PVT LTD,Office Supplies,OFFICE UTILITIES,,
450472554610,People,Facility benefits,Travel,Business Travel,Athena cars and tours private limited.,22315.77578,CONSULTANCY,ATHENA CARS & TOURS PRIVATE LIMITED,Application Licenses Maintenance,TECHNOLOGY,,
450472557210,People,Recruiting,People,Facility benefits,AIMS Solutions Safety & Services.,11116.95046,CONSULTANCY,AIMS Solutions Safety Solutions,Catering / Cafeteria / Vending,PEOPLE,,
450473208810,Institutional,Internal Events,Institutional,Internal Events,Event management – Madison,14642.2622,CONSULTANCY,MOMS OUTDOOR MEDIA SOLUTIONS PRIVAT,Customers - Others,CUSTOMERS,,
450473265210,Institutional,Internal Events,Institutional,Internal Events,Bieretalk Sessions year 2018,4646.699798,CONSULTANCY,Shree Durga café,Food - No Beverage,FINISHED PRODUCTS,,
450474400610,Services,Document & Archiving Services,Fees,Consulting (project-based),E & Y Addendum statement work for 2month,13940.09939,CONSULTANCY,Ernst & Young LLP,Consultant,FEES,,
450474404010,Legal,Legal Fees,Legal,Legal Fees,Dhir & Dhir,11984.61323,CONSULTANCY,Dhir & Dhir Associates,Expert Fees,LEGAL,Legal,Legal Fees
450474404210,Legal,Legal Fees,Legal,Legal Fees,JSA,23779.39328,CONSULTANCY,J. Sagar Associates,Legal,LEGAL,Legal,Legal Fees
450474404310,Legal,Legal Fees,Fees,Audit Financial,RJ Associates,3251.915408,CONSULTANCY,RJ Associates,Expert Fees,LEGAL,Legal,Legal Fees
450474433110,Legal,Legal Fees,Fees,Consulting (project-based),Cyril,1949.910125,CONSULTANCY,CYRIL AMARCHAND MANGALDAS,Consultant,FEES,Legal,Legal Fees
450474433510,#N/A,#N/A,#N/A,#N/A,E & Y,1045.507454,CONSULTANCY,Ernst & Young LLP,Consultant,FEES,,
450474480610,Services,Administrative Support,Fees,Consulting (project-based),E & Y Outcome met 5%,280660.6678,CONSULTANCY,Ernst & Young LLP,Consultant,FEES,,
450475607610,Legal,Legal Fees,Legal,Legal Fees,CC Worldwide Limited Professional Fee-Le,42228.16,CONSULTANCY,CLIFFORD CHANCE LLP,Legal,LEGAL,Legal,Legal Fees
450475618610,#N/A,#N/A,#N/A,#N/A,BCP project roll for AGS,28732.09375,CONSULTANCY,KPMG,Catering / Cafeteria / Vending,PEOPLE,,
450475656810,Fees,Consulting (recurring),Fees,Consulting (project-based),EY (Resource Vineeta Kurtkoti),10842.29953,CONSULTANCY,Ernst & Young LLP,Consultant,FEES,,
450475659410,#N/A,#N/A,#N/A,#N/A,EY (Resource Vineeta Kurtkoti),10842.29953,CONSULTANCY,Ernst & Young LLP,Consultant,FEES,,
450476155910,#N/A,#N/A,#N/A,#N/A,RJ Associates  April,383.774976,CONSULTANCY,RJ Associates,Expert Fees,LEGAL,,
450476156010,#N/A,#N/A,#N/A,#N/A,J Sagar  April,2302.649859,CONSULTANCY,J. Sagar Associates,Legal,LEGAL,,
450476156110,Legal,Legal Fees,Legal,Legal Fees,Dhir & Dhir April 2018,4605.299718,CONSULTANCY,Dhir & Dhir Associates,Expert Fees,LEGAL,Legal,Legal Fees
450476159310,Fees,Consulting (recurring),Fees,Consulting (project-based),EY Conveyance,614.039962,CONSULTANCY,Ernst & Young LLP,Consultant,FEES,,
450476360210,Services,Administrative Support,Services,Administrative Support,Conjoint support Feb- June18 (4Emp),101439.4018,CONSULTANCY,BRIDGEI2I ANALYTICS SOLUTIONS PRIVA,Lease of Vehicle,LEASES AND RENTALS,,
450477755510,#N/A,#N/A,#N/A,#N/A,Women’s day expenses,1102.708315,CONSULTANCY,TFL CONTINUOUS LEARNING PVT LTD,Customers - Others,CUSTOMERS,,
450477788410,Services,Cleaning and Gardening,Maintenance,Building & Facilities Maint. Materials,JLL facilities Management Services PR,28770.59682,CONSULTANCY,Jones Lang LaSalle Property Consult,Other Leases/Rentals,LEASES AND RENTALS,,
450477791210,Services,Cleaning and Gardening,Maintenance,Building & Facilities Maint. Materials,JLL facilities Management services,165130.4513,CONSULTANCY,Jones Lang LaSalle Property Consult,Other Leases/Rentals,LEASES AND RENTALS,,
450477832010,Services,Administrative Support,Fees,Consulting (project-based),Genpact India Private Limited,51477.87,CONSULTANCY,GENPACT INDIA PRIVATE LIMITED,Consultant,FEES,,
450477832510,Institutional,Internal Events,Institutional,Internal Events,Leadership Day Sheration (Hall & Food),16996.62616,CONSULTANCY,Sheraton GRAND BANGALORE,Internal Events,INSTITUTIONAL,,
450477835310,Fees,Consulting (recurring),Fees,Consulting (project-based),PR for Mobility Services,30701.99812,CONSULTANCY,Ernst & Young LLP,Consultant,FEES,,
450477839310,Fees,Consulting (recurring),Fees,Consulting (project-based),PR for Staff Augmentation,34923.52286,CONSULTANCY,Ernst & Young LLP,Consultant,FEES,,
450480112110,Legal,Legal Fees,Legal,Legal Fees,Sasha - Legal PR,230.264986,CONSULTANCY,Sasha,Expert Fees,LEGAL,Legal,Legal Fees
450480128810,Legal,Legal Fees,Legal,Legal Fees,Induslaw Legal PR,1228.079925,CONSULTANCY,Indus Law,Expert Fees,LEGAL,Legal,Legal Fees
450481084310,Technology,Telecom Services,Technology,Telecom Services,Quotation for Refixing of Routers GAC,902.629534,CONSULTANCY,SPECTARC,Lease of Vehicle,LEASES AND RENTALS,,
450481354310,Services,Administrative Support,Fees,Consulting (project-based),PR for EY annual contract,361753.9683,CONSULTANCY,Ernst & Young LLP,Consultant,FEES,,
450481354810,Services,Administrative Support,Fees,Consulting (project-based),EY Inventory Analytics Project,16579.07898,CONSULTANCY,Ernst & Young LLP,Consultant,FEES,,
450481746010,Fees,Consulting (recurring),Fees,Consulting (project-based),EY,46974.05712,CONSULTANCY,Ernst & Young LLP,Consultant,FEES,,
450482483910,#N/A,#N/A,#N/A,#N/A,Transition Contract (COA) Apr 18,40930.98805,CONSULTANCY,Accenture Solutions Pvt. Ltd.,Application Support,TECHNOLOGY,,
450482519010,Legal,Legal Fees,Legal,Legal Fees,DSC Renewal (Jhanavi) + Sumit new DSC,847.375148,CONSULTANCY,Ernst & Young LLP,Consultant,FEES,Legal,Legal Fees
450482525710,Fees,Consulting (recurring),Fees,Consulting (project-based),Packed Box (GUI team session),163.871915,CONSULTANCY,Charishma hotels Pvt Ltd(Park Plaza,Catering / Cafeteria / Vending,PEOPLE,,
450482875510,Fees,Consulting (recurring),Fees,Consulting (project-based),EY- 1 consultant for 1.5 month,8059.274506,CONSULTANCY,Ernst & Young LLP,Consultant,FEES,,
450482915610,#N/A,#N/A,#N/A,#N/A,school fees children Serge De Vos,8926.605952,CONSULTANCY,FOUNDING YEARS LEARNING SOLUTIONS P,People,PEOPLE,,
450483088110,People,Intercompany Service People,Fees,Consulting (project-based),Project X billing file BOT- Apr 18,128077.4839,CONSULTANCY,Accenture Solutions Pvt. Ltd.,Application Support,TECHNOLOGY,,
450483160510,Services,Administrative Support,Technology,Application Support,GRAYMATTER SOFTWARE SERVICES PRIVATE LIM,47051.42615,CONSULTANCY,GRAYMATTER SOFTWARE SERVICES PRIVAT,Application Support,TECHNOLOGY,,
450483165510,Services,Administrative Support,Fees,Consulting (project-based),BRIDGEi2i ANALYTICS SOLUTIONS PRIVATE LI,88405.2369,CONSULTANCY,BRIDGEI2I ANALYTICS SOLUTIONS PRIVA,Lease of Vehicle,LEASES AND RENTALS,,
450483378810,Fees,Consulting (recurring),People,International Mobility,school fees children Serge De Vos,8926.605952,CONSULTANCY,THE INTERNATIONAL SCHOOL BANGALORE,(Inter)national Mobility,PEOPLE,,
450483735610,Services,Administrative Support,0,0,IHS Markit for macro economic data,40000,CONSULTANCY,IHS Global Pte Limited,Applications Saas,TECHNOLOGY,,
450483750710,Institutional,Internal Events,Institutional,Internal Events,S & O Community Meet Packed BoxSergeteam,155.04509,CONSULTANCY,Charishma hotels Pvt Ltd(Park Plaza,Catering / Cafeteria / Vending,PEOPLE,,
450483751610,Services,Administrative Support,Fees,Consulting (project-based),EY ITGC - SOX March to May,614.039962,CONSULTANCY,Ernst & Young LLP,Consultant,FEES,,
450484700210,Services,Administrative Support,Fees,Consulting (project-based),E & Y ITGC - SOX March to May,21491.39868,CONSULTANCY,Ernst & Young LLP,Consultant,FEES,,
450484810310,Legal,Legal Fees,Fees,Consulting (project-based),"Mehta & Mehta Fee For Form ADT-1, Form",64.474196,CONSULTANCY,Mehta & Mehta,Agency Fees & Expenses,MARKETING,Legal,Legal Fees
450485511810,Services,Document & Archiving Services,Fees,Consulting (project-based),Ganeriwala&Co Fees towards issue of Form,364.562751,CONSULTANCY,Ganeriwala & Co,Consultant,FEES,,
450486356010,Fees,Consulting (recurring),People,Pension & Savings Benefit,GPA renewal for GCC,19686.38854,CONSULTANCY,The New India Assurance Co Ltd,Health Benefits & Life Insurance,PEOPLE,,
450486356910,Fees,Consulting (recurring),People,Pension & Savings Benefit,GPA renewal for GAC,2187.376504,CONSULTANCY,The New India Assurance Co Ltd,Health Benefits & Life Insurance,PEOPLE,,
450486405110,Non ZBB,Non ZBB Accounts,Technology,Application Licenses,Kronos Unexcused absence,1006.193192,CONSULTANCY,Kronos systems India Private Limite,Application Licenses Maintenance,TECHNOLOGY,,
450486761910,#N/A,#N/A,#N/A,#N/A,Timesol Stamp paper,48.122283,CONSULTANCY,TIMESOL FACILITY MANAGEMENT PVT LTD,Office Supplies,OFFICE UTILITIES,,
450486769310,#N/A,#N/A,#N/A,#N/A,Weather Trends International Data,14650,CONSULTANCY,Weather Trends International Inc.,Applications Saas,TECHNOLOGY,,
450487128710,Technology,Telecom Services,0,0,Wi-Fi Project.,6961.23823,CONSULTANCY,SOFTTEK INDIA PRIVATE LIMITED,Workplace - Technical Support,TECHNOLOGY,,
450487405110,Services,Administrative Support,Fees,Audit Financial,E & Y Accounting Services Jan 18,18126.05997,CONSULTANCY,Ernst & Young LLP,Consultant,FEES,,
450487405310,Services,Administrative Support,Fees,Audit Financial,Financial Preparation Fee 17-18,4010.190258,CONSULTANCY,Ernst & Young LLP,Consultant,FEES,,
450487522910,#N/A,#N/A,#N/A,#N/A,Epitome Infotech Solutions Pvt Ltd,196.863885,CONSULTANCY,Epitome Infotech Solutions Pvt Ltd,Application Support,TECHNOLOGY,,
450487584810,Services,Administrative Support,Services,Administrative Support,Onboarding of New Zones for 2018,583.300401,CONSULTANCY,Ernst & Young LLP,Consultant,FEES,,
450487585410,Services,Administrative Support,Fees,Consulting (project-based),PR for Data Privacy - Resource EY,437.475301,CONSULTANCY,Ernst & Young LLP,Consultant,FEES,,
450487592710,#N/A,#N/A,#N/A,#N/A,Anheuser Busch-TLE2000 - Software,32642.40248,CONSULTANCY,ThinScale Technology Limited,Application Licenses Maintenance,TECHNOLOGY,,
450487812610,Services,Administrative Support,Fees,Consulting (project-based),EY Onboarding of New Zones for 2018,20415.51404,CONSULTANCY,Ernst & Young LLP,Consultant,FEES,,
450487895210,Institutional,Internal Events,Institutional,Non-Charitable Donations,"procuring 1300, SCM t –shirts",5687.178911,CONSULTANCY,MEGASCULE,Cleaning and Gardening,SERVICES,,
450487916510,People,Facility benefits,People,Facility benefits,PR for usage of Timesol services,7291.255015,CONSULTANCY,TIMESOL FACILITY MANAGEMENT PVT LTD,Office Supplies,OFFICE UTILITIES,,
450488841310,Services,Administrative Support,Unassigned,Unassigned,ABI GLOBAL MSE SOW,40091.2136,CONSULTANCY,Nielsen india pvt Ltd,Market Research,MARKETING,,
450489216310,Services,Administrative Support,Fees,Consulting (project-based),Forecasting,11082.70762,CONSULTANCY,BRIDGEI2I ANALYTICS SOLUTIONS PRIVA,Lease of Vehicle,LEASES AND RENTALS,,
450489216410,Services,Administrative Support,Unassigned,Unassigned,MSE,241886.2039,CONSULTANCY,BRIDGEI2I ANALYTICS SOLUTIONS PRIVA,Lease of Vehicle,LEASES AND RENTALS,,
450489409610,Legal,Legal Fees,0,0,Kochar Legal Services,2916.502006,CONSULTANCY,KOCHHAR & CO,Expert Fees,LEGAL,Legal,Legal Fees
450489410410,Technology,Workplace,Technology,Workplace,PR for Computer peripherals,25570.43134,CONSULTANCY,INFOCIRCLES TECHNOLOGY SOLUTION,Workplace - It Supplies & Other Peripherals,TECHNOLOGY,,
450489659910,Fees,Consulting (recurring),Fees,Consulting (project-based),PR for EY Payroll services,29165.02006,CONSULTANCY,Ernst & Young LLP,Consultant,FEES,,
450489708010,Technology,Workplace,Technology,Telecom Services,Vodafone Invoice,2089.668437,CONSULTANCY,Vodafone Spacetel Limited,Telecom - Data Communication Services,TECHNOLOGY,,
450489767510,Services,Administrative Support,Fees,Consulting (project-based),PR for Data Privacy - Resource E & Y,15311.63553,CONSULTANCY,Ernst & Young LLP,Consultant,FEES,,
450491268910,Technology,Workplace,Technology,Workplace,PR for DAta Cabling,729.592142,CONSULTANCY,INFOCIRCLES TECHNOLOGY SOLUTION,Workplace - It Supplies & Other Peripherals,TECHNOLOGY,,
450491716510,Legal,Legal Fees,Legal,Legal Fees,"Apr , May & June 2018",218.73765,CONSULTANCY,Sasha,Expert Fees,LEGAL,Legal,Legal Fees
450491717210,People,Temps Non-Payroll,Fees,Consulting (project-based),PR_Affine_Forecasting,80203.80516,CONSULTANCY,AFFINE ANALYTICS PRIVATE LIMITED,Catering / Cafeteria / Vending,PEOPLE,,
450493500810,Legal,Legal Fees,Legal,Legal Fees,"Shobita PR (June,July,August)",1698.322866,CONSULTANCY,RCS Tech LLP,Services,SERVICES,Legal,Legal Fees
450493568810,Fees,Consulting (project-based),Taxes,Other Taxes,Tax & Regulatory-SEZ Related Compliances,42464.26921,CONSULTANCY,Ernst & Young LLP,Consultant,FEES,,
450493570310,Fees,Consulting (project-based),Taxes,Other Taxes,E YTaxRegulatory-STPI Related Compliance,16799.05155,CONSULTANCY,Ernst & Young LLP,Consultant,FEES,,
450493570710,Fees,Consulting (project-based),Fees,Consulting (project-based),EY-IDTPreparing & Filing SEZ Compliances,12099.10857,CONSULTANCY,Ernst & Young LLP,Consultant,FEES,,
450493570910,Fees,Consulting (project-based),Taxes,Other Taxes,E Y Assistance Filing of STPI Comp,7485.202398,CONSULTANCY,Ernst & Young LLP,Consultant,FEES,,
450493572010,#N/A,#N/A,#N/A,#N/A,KPMG Advisory Services Pvt Ltd,36456.27507,CONSULTANCY,Ernst & Young LLP,Consultant,FEES,,
450493572310,Services,Administrative Support,Fees,Consulting (project-based),KPMG Advisory Services Pvt Ltd,41924.71633,CONSULTANCY,KPMG Advisory Services Private Limi,Expert Fees,LEGAL,,
450493893310,Services,Administrative Support,Fees,Consulting (project-based),Nasscom-Subscription,6562.129513,CONSULTANCY,NATIONAL ASSOCIATION OF SOFTWARE,Consultant,FEES,,
450493946310,Services,Administrative Support,Legal,Legal Fees,AGS Mexico ISO22301 certification,23826.56729,CONSULTANCY,DNV GL Business Assurance India Pri,Expert Fees,LEGAL,,
450494070210,#N/A,#N/A,#N/A,#N/A,Memory Upgrade 128 GB,13673.53552,CONSULTANCY,AT&T Communication Services India P,Telecom - Telephone Services,TECHNOLOGY,,
450494388010,People,Temps Non-Payroll,People,Temps Non-Payroll,"Prithviraj, Ashok PR",48851.4086,CONSULTANCY,Ashok Prithviraj,Services,SERVICES,,
450494389510,People,Facility benefits,People,Facility benefits,Resume ranking for GCC and PBS.,1260,CONSULTANCY,Sovren Group Inc.,Application Licenses Maintenance,TECHNOLOGY,,
450494520910,Maintenance,Building & Facilities Maint. Materials,Utilities,Office Supplies,Medical Eqvipments,642.922452,CONSULTANCY,Apollo Hospitals Enterprise Limited,Services,SERVICES,,
450494740510,Technology,Datacenter,Technology,Datacenter,Dongle not working,21873.76504,CONSULTANCY,Bharti Airtel Limited,Telecom - Data Communication Services,TECHNOLOGY,,
450494743010,People,Facility benefits,People,Facility benefits,Kronos corrections,7291.255015,CONSULTANCY,Kronos systems India Private Limite,Application Licenses Maintenance,TECHNOLOGY,,
450495773610,#N/A,#N/A,#N/A,#N/A,7500 x 8 hrs for FEMA Annual Filing EY,874.548879,CONSULTANCY,Ernst & Young LLP,Consultant,FEES,,
450495839810,#N/A,#N/A,#N/A,#N/A,Spectarc TDS excess deducted,392.899829,CONSULTANCY,SPECTARC,Lease of Vehicle,LEASES AND RENTALS,,
450496195710,People,Facility benefits,People,Facility benefits,One time management fee for the instalat,7861.87375,CONSULTANCY,AIMS Solutions Safety Solutions,Catering / Cafeteria / Vending,PEOPLE,,
450496625110,People,International Mobility,Travel,Business Travel,Raddison Hotel Booking Rodrigo Ferreira,1446.328935,CONSULTANCY,Charishma hotels Pvt Ltd(Park Plaza,Catering / Cafeteria / Vending,PEOPLE,,
450496949610,#N/A,#N/A,#N/A,#N/A,Raddison Blu (Stay Bill Paula Redigolo),7556.102311,CONSULTANCY,Genext Hardware and Parks Private,Corporate Affairs Fees,INSTITUTIONAL,,
450496989010,Maintenance,Building & Facilities Maint. Materials,People,Facility benefits,Medical facilities in GAC,3642.496079,CONSULTANCY,Apollo Life,Services,SERVICES,,
